Variable,Value
snp1,chr22:19865540
snp2,chr22:24400888
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,4.9768
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,19597584
searchrange_chr22_end,25286013
freq_snp1,0.5089
freq_snp2,0.5288
freq_S,0.2704
freq_K1,0.2386
freq_K2,0.2584
freq_O,0.2326
test1a_b_clade_min_p0.5,1.2327
test1a_r2_clade_min_p0.5,0.0063
test1a_b_mut_min_p0.5,1.4684
test1a_r2_mut_min_p0.5,0.0132
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[20789187]
test1a_b_clade_min_p0.8,1.4448
test1a_r2_clade_min_p0.8,0.0063
test1a_b_mut_min_p0.8,1.7210
test1a_r2_mut_min_p0.8,0.0132
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[20789187]
test1a_b_clade_min_p0.9,1.5556
test1a_r2_clade_min_p0.9,0.0063
test1a_b_mut_min_p0.9,1.8531
test1a_r2_mut_min_p0.9,0.0132
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[20789187]
test1a_b_clade_min_p0.95,1.6472
test1a_r2_clade_min_p0.95,0.0063
test1a_b_mut_min_p0.95,1.9621
test1a_r2_mut_min_p0.95,0.0132
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[20789187]
test1b_b_min,0.0214
test2_overall_min_b,0.3580
