Variable,Value
snp1,chr19:19810050
snp2,chr19:19738554
snp3,chr19:19756073
sample_size_N,1006
alpha,0.0500
interaction_test_statistic,2.6563
max_effect_size,1.0000
search_distance_cM,1.0000
searchrange_chr19_start,18706564
searchrange_chr19_end,20643480
freq_snp1,0.3479
freq_snp2,0.5060
freq_S,0.1909
freq_K1,0.1571
freq_K2,0.3151
freq_O,0.3370
test1a_b_clade_min_p0.5,0.1371
test1a_r2_clade_min_p0.5,0.0629
test1a_b_mut_min_p0.5,0.1550
test1a_r2_mut_min_p0.5,0.1984
test1a_mut_chr_p0.5,19
test1a_mut_pos_p0.5,[19672317]
test1a_b_clade_min_p0.8,0.1959
test1a_r2_clade_min_p0.8,0.0629
test1a_b_mut_min_p0.8,0.2216
test1a_r2_mut_min_p0.8,0.1984
test1a_mut_chr_p0.8,19
test1a_mut_pos_p0.8,[19672317]
test1a_b_clade_min_p0.9,0.2267
test1a_r2_clade_min_p0.9,0.0629
test1a_b_mut_min_p0.9,0.2564
test1a_r2_mut_min_p0.9,0.1984
test1a_mut_chr_p0.9,19
test1a_mut_pos_p0.9,[19672317]
test1a_b_clade_min_p0.95,0.2521
test1a_r2_clade_min_p0.95,0.0629
test1a_b_mut_min_p0.95,0.2851
test1a_r2_mut_min_p0.95,0.1984
test1a_mut_chr_p0.95,19
test1a_mut_pos_p0.95,[19672317]
test1b_b_min,0.0487
test2_overall_min_b,0.1583
