Variable,Value
snp1,chr22:25906477
snp2,chr22:25932010
snp3,chr22:26083414
sample_size_N,1006
alpha,0.0000
interaction_test_statistic,5.7695
interaction_effect_size,0.0689
max_effect_size,2.0000
search_distance_cM,1.0000
searchrange_chr22_start,25425129
searchrange_chr22_end,26352667
freq_snp1,0.0915
freq_snp2,0.4523
freq_S,0.0169
freq_K1,0.0746
freq_K2,0.4354
freq_O,0.4732
test1a_b_clade_min_p0.5,0.1862
test1a_r2_clade_min_p0.5,0.0136
test1a_b_mut_min_p0.5,0.2431
test1a_r2_mut_min_p0.5,0.0004
test1a_mut_chr_p0.5,22
test1a_mut_pos_p0.5,[25930507]
test1a_b_clade_min_p0.8,0.2182
test1a_r2_clade_min_p0.8,0.0136
test1a_b_mut_min_p0.8,0.2848
test1a_r2_mut_min_p0.8,0.0004
test1a_mut_chr_p0.8,22
test1a_mut_pos_p0.8,[25930507]
test1a_b_clade_min_p0.9,0.2349
test1a_r2_clade_min_p0.9,0.0136
test1a_b_mut_min_p0.9,0.3067
test1a_r2_mut_min_p0.9,0.0004
test1a_mut_chr_p0.9,22
test1a_mut_pos_p0.9,[25930507]
test1a_b_clade_min_p0.95,0.2488
test1a_r2_clade_min_p0.95,0.0136
test1a_b_mut_min_p0.95,0.3247
test1a_r2_mut_min_p0.95,0.0004
test1a_mut_chr_p0.95,22
test1a_mut_pos_p0.95,[25930507]
test1b_b_min,0.0331
test2_span_lt_effectsize_chr22,0
test2_total_span_lt_effectsize,0
test2_overall_min_b,0.7512
